PhD Researcher Michał Styczyński;https://www.thefirstnews.com/article/warsaw-scientist-finds-natural-coral-saving-uv-filter-in-antarctic-bacteria-26856;Natural;bacteria fighting damaging effect of UV radiation, potential;
How Vegan Leather Made From Mangoes;https://www.youtube.com/watch?v=1J3QH8NXprI;Fashion, Textiles & Manufacturing;How?;DIY?
Star Lab Oasis;https://starlaboasis.com/;Space;;
Bio Art;https://ekac.org/transgenicindex.html;Artists, Designers & Studios;;**
Recycling Silicon- KPR Institute of Engineering and Technology;https://pv-magazine-usa.com/2021/11/05/new-tech-recovers-pure-silicon-from-end-of-life-solar-cells/;Recylced Materials;recycled silicon;**
University of Colorado Boulder;https://www.scientificamerican.com/article/bacteria-filled-bricks-build-themselves/;Construction Materials;;
Center for Sustainable & Circular technologies- University of Bath;https://www.csct.ac.uk/research/projects/;Research Labs;;
Patrick Dougherty;http://www.stickwork.net/;Organic Architecture & Other;;
Nature Materials;https://www.nature.com/nmat/;Blogs & other Resources;learning;Online Resources
Center for Architecture and Ecology;https://www.case.rpi.edu/practice;Research Labs;;
Mooney Lab ;https://mooneylab.seas.harvard.edu/;Research Labs;research, biomaterial;
Living ink- Harvard University and Brigham Women's Hospital;https://phys.org/news/2021-11-3d-ink-cells.html;Biomedical;living nanofibers, biengineering,;
Roman Concrete;https://en.wikipedia.org/wiki/Roman_concrete#Modern_use;Cement;;
This is Alive;http://thisisalive.com/exhibits/;Exhibitions;art exhibitions;
MIT and Commonwealth Fusion Systems (CFS). Fusion design;https://news.mit.edu/2021/MIT-CFS-major-advance-toward-fusion-energy-0908;Energy;Fusion Energy;
Design and Living Systems Lab;http://www.designandlivingsystems.com/design-manifesto-2/;Research Labs;;
Green Minerals;https://www.green-minerals.nl/;Carbon;;
Fernado Laposse;ps://www.fernandolaposse.com/projects/;Textiles;natural materials, artists, natural materials;Natural Materials. Artist
Pelling Lab;https://www.pellinglab.net/about;Research Labs;;
Chucks;https://www.case.rpi.edu/research/chunks;Exhibitions;Advance Composites Exhibitions;
Elements of AI;https://www.elementsofai.com/;Education & Tech;;
Biology and Built Environment (BioBE) Center;https://biobe.uoregon.edu/;Research Labs;education;
Earth Prize;https://earthshotprize.org/;Funding Intiatives;;
Loomia Soft Circuit Systems;https://www.loomia.com/;Fashion & Tech;;Needs a few bubbles of bubbles this category
Engineered living materials (ELMs) -Imperial College London;https://phys.org/news/2021-08-self-healing-materials-3d-blocks.html;Self-Healing Materials;self-healing, living materials,;self-healing, living materials
Stuart Ian Frost;https://stuartianfrost.com/;Environmental Art & Artist;;
Teresa Van Dongen;http://www.teresavandongen.com/;Artists, Designers & Studios;;
Sci-Hube;https://sci-hub.41610.org/;Open Access Research;Shadow Libraries;
Biomason: Ginger Krieg Dosier;https://biomason.com/;Cement;;
Chucks;https://www.case.rpi.edu/research/chunks;Exhibitions;Advance Composites Exhibitions;
Silk Lab;https://ase.tufts.edu/biomedical/unolab/home.html;Research Lab;;
Officina Corpuscoli The Growing Lab / Mycelia;https://www.corpuscoli.com/projects/the-growing-lab/;Mycelia;biofabrication, biomaterials;
Kitty Yeung;https://artbyphysicistkittyyeung.com/;Artists, Designers & Studios;;
Upstart Co-Lab;https://upstartco-lab.org/;Funding Initatives;;
Strano Research Group MIT;https://srg.mit.edu/research/;Research Labs;Research Labs;
Dr. Vishal Mishra and PhD student Veer Singh: Indian Institute of Technology, Banaras Hindu University (IIT-BHU);https://www.indiatimes.com/technology/science-and-future/iit-bhu-549926.html;Water;bacteria capable of separating toxic metal from water;Recycling
Sputniko!;https://sputniko.com/;Artists, Designers & Studios;;
Terrazzo;https://en.wikipedia.org/wiki/Terrazzo;Natural, Traditional & Handcrafted;;** check out other method Roman Concrete
Paul Stamets;https://www.nasa.gov/directorates/spacetech/niac/2021_Phase_I/Making_Soil_for_Space_Habitats/;Space;fungi;
Dimension Inx;https://www.dimensioninx.com/;BioMaterial & Tech;;
Trans Natural Art & design;https://www.transnaturallabel.com/laboratory/;;Art & Design Studios;
Tangible Media MIT;https://tangible.media.mit.edu/projects/;Research Labs;;
